type,name,description,quality,domain_specificity,domain,origin_instance_id,parent_content_hash
role_component,identify-content-gaps-and-inconsistencies,"Identify gaps, errors, or inconsistencies in provided content",100,0,,00000000-0000-7000-8000-000000000001,
role_component,classify-claims-by-type,"Extract and classify claims from source material by type: fact, opinion, or theory",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,evaluate-sources-by-reputation,"Evaluate sources by reputation level, prioritising primary sources over secondary",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
role_component,identify-key-points-from-unstructured-material,Identify the most important points from unstructured source material,100,15,,00000000-0000-7000-8000-000000000001,
role_component,propose-explicit-thesis,"Propose an explicit arguable thesis from source material, not just a topic description",100,50,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,perform-self-critique,"Perform self-critique on completed work, identifying structural and logical weaknesses before delivering",100,15,,00000000-0000-7000-8000-000000000001,
role_component,make-reasoning-explicit,Connect conclusions to the evidence or decisions that produced them,100,0,,00000000-0000-7000-8000-000000000001,
role_component,identify-focal-point,Identify the single most important point before structuring output,100,0,,00000000-0000-7000-8000-000000000001,
role_component,calibrate-output-density,"Calibrate output density and detail level to the audience's context and purpose",100,0,,00000000-0000-7000-8000-000000000001,
role_component,eliminate-off-focal-content,Eliminate content that does not advance the focal point of the output,100,0,,00000000-0000-7000-8000-000000000001,
role_component,evaluate-from-multiple-perspectives,"Evaluate completed output from multiple distinct stakeholder or expert perspectives before delivering",100,15,,00000000-0000-7000-8000-000000000001,
role_component,adapt-vocabulary-to-audience,"Adapt vocabulary and register to the audience's professional domain",100,0,,00000000-0000-7000-8000-000000000001,
role_component,extract-chronological-structure,"Extract chronological structure from transcripts or meeting notes",100,40,"analysis,management",00000000-0000-7000-8000-000000000001,
role_component,distinguish-substance-from-structure,"Distinguish substantive results (decisions, conclusions) from structural results (frameworks, process insights that emerged)",100,60,"management,strategy",00000000-0000-7000-8000-000000000001,
role_component,synthesise-from-multiple-source-types,"Synthesise information from multiple source types, weighting by interpretive priority",100,15,,00000000-0000-7000-8000-000000000001,
role_component,provide-context-on-first-mention,"Provide brief context for every named person, concept, or technical term on its first appearance in the output",100,25,"writing,research",00000000-0000-7000-8000-000000000001,
role_component,maintain-consistent-terminology,"Use the same term for the same concept throughout the output; audit for semantic drift",100,0,,00000000-0000-7000-8000-000000000001,
desired_outcome,claim-verification-report,"Return a verification report classifying each claim as: Verified (2+ high-reputation sources), Questionable (1 high-reputation or multiple lower-quality sources), or Not Verifiable (no credible sources found), with source links for each",100,75,"research,analysis",00000000-0000-7000-8000-000000000001,
desired_outcome,verification-summary,"Return a summary with: total claim count, count per verification status, percentage per status, and brief analysis of patterns",100,50,"research,analysis",00000000-0000-7000-8000-000000000001,
desired_outcome,structured-essay-outline,"Return a numbered outline with: one explicit arguable thesis, section summaries (one sentence each) explaining connection to thesis, and an explicit list of excluded material with reasons",100,60,"writing,research",00000000-0000-7000-8000-000000000001,
desired_outcome,content-sourcing-summary,"Return a sourcing summary tracking the proportion of output derived from: direct quotation, paraphrase, elaboration, and generated content",100,60,"writing,research",00000000-0000-7000-8000-000000000001,
desired_outcome,document-content-ratio,"Return written output targeting this content ratio: description (25%), analysis (50%), recommendations (25%)",100,25,"strategy,management,writing",00000000-0000-7000-8000-000000000001,
trade_off_config,prefer-source-quality-over-quantity,"When source quality and source quantity conflict: prefer one authoritative primary source over multiple lower-reputation sources",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,report-source-conflicts-without-resolving,"When authoritative sources conflict on the same claim: present both perspectives with sources; mark as uncertain; do not select a winner",100,60,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,classify-uncertain-claims-conservatively,"When uncertain whether a statement qualifies as a claim: classify it as a claim rather than omitting it",100,40,"research,analysis",00000000-0000-7000-8000-000000000001,
trade_off_config,prefer-omission-over-fabrication,"When content integrity and writing quality conflict: prefer omission or explicit acknowledgement over fabricating details not present in the source material",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,structure-before-prose,"When structure and prose quality conflict: complete and validate the structure before drafting prose",100,55,writing,00000000-0000-7000-8000-000000000001,
trade_off_config,state-weaknesses-directly,"When evaluating completed work: state weaknesses directly without qualifying praise; describe problems, not improvements",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,cut-generic-before-vivid,"When compressing output: cut generic or transitional content before cutting vivid specifics, the key surprise or turn, or any moment of emotional engagement",100,25,"writing,strategy",00000000-0000-7000-8000-000000000001,
trade_off_config,explain-before-label,"When introducing a concept: describe the mechanism and explain why it matters before naming it",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,use-concrete-before-abstract,"When introducing an unfamiliar concept: lead with specific concrete examples before stating the definition or framework",100,0,,00000000-0000-7000-8000-000000000001,
trade_off_config,plant-before-reveal,"When including a surprising conclusion or turn: introduce a signal of it early so the reveal feels like a payoff, not a pivot",100,35,"writing,strategy",00000000-0000-7000-8000-000000000001,
